delivery_date,hour_ending,HHI,Pivotal
10/16/2020,20,1022.012323,0
10/16/2020,21,1026.668178,0
10/16/2020,22,1025.354927,0
10/16/2020,23,1029.798122,0
10/16/2020,24,1023.827355,0
10/17/2020,1,1055.88926,0
10/17/2020,2,1054.536632,0
10/17/2020,3,1055.139135,0
10/17/2020,4,1062.365953,0
10/17/2020,5,1070.503297,0
10/17/2020,6,1071.412821,0
10/17/2020,7,1071.412821,0
10/17/2020,8,1178.143158,0
10/17/2020,9,1183.754907,0
10/17/2020,10,1151.422509,0
10/17/2020,11,1108.585089,0
10/17/2020,12,1097.918906,0
10/17/2020,13,1096.672822,0
10/17/2020,14,1089.292207,0
10/17/2020,15,1127.639949,0
10/17/2020,16,1119.304626,0
10/17/2020,17,1119.328748,0
10/17/2020,18,1108.50724,0
10/17/2020,19,1077.603363,0
10/17/2020,20,1020.713783,0
10/17/2020,21,1028.664213,0
10/17/2020,22,1026.069641,0
10/17/2020,23,1027.228716,0
10/17/2020,24,1023.79589,0
10/18/2020,1,1043.049842,0
10/18/2020,2,1036.945501,0
10/18/2020,3,1048.39387,0
10/18/2020,4,1058.187215,0
10/18/2020,5,1066.893711,0
10/18/2020,6,1066.893711,0
10/18/2020,7,1067.894516,0
10/18/2020,8,1138.251747,0
10/18/2020,9,1224.931529,1
10/18/2020,10,1225.976273,1
10/18/2020,11,1219.57503,0
10/18/2020,12,1111.215443,0
10/18/2020,13,1119.329514,0
10/18/2020,14,1114.306521,0
10/18/2020,15,1199.247959,0
10/18/2020,16,1188.833506,0
10/18/2020,17,1192.043171,0
10/18/2020,18,1179.703124,0
10/18/2020,19,1140.101805,0
10/18/2020,20,1042.446288,0
10/18/2020,21,1046.90346,0
10/18/2020,22,1040.238637,0
10/18/2020,23,1050.248394,0
10/18/2020,24,1062.504397,0
10/19/2020,1,942.4979938,0
10/19/2020,2,944.424127,0
10/19/2020,3,947.6803227,0
10/19/2020,4,948.7666942,0
10/19/2020,5,950.9006822,0
10/19/2020,6,955.0755954,0
10/19/2020,7,891.9477309,0
10/19/2020,8,961.934933,0
10/19/2020,9,1035.396105,0
10/19/2020,10,1001.566676,0
10/19/2020,11,998.4522039,0
10/19/2020,12,1076.23509,0
10/19/2020,13,1115.517381,0
10/19/2020,14,1111.265328,0
10/19/2020,15,1160.115348,0
10/19/2020,16,1155.329816,0
10/19/2020,17,1152.526027,0
10/19/2020,18,1149.255121,0
10/19/2020,19,1067.954373,0
10/19/2020,20,1005.165828,0
10/19/2020,21,1009.914811,0
10/19/2020,22,1087.574919,0
10/19/2020,23,1085.303235,0
10/19/2020,24,1081.648502,0
10/20/2020,1,925.9620054,0
10/20/2020,2,925.8113198,0
10/20/2020,3,926.6571328,0
10/20/2020,4,927.6441814,0
10/20/2020,5,927.8559256,0
10/20/2020,6,929.0881811,0
10/20/2020,7,936.4101791,0
10/20/2020,8,953.8205509,0
10/20/2020,9,1017.554044,0
10/20/2020,10,1018.062537,0
10/20/2020,11,1014.400225,0
10/20/2020,12,943.816195,0
10/20/2020,13,943.7620325,0
